,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
124,18.0,PMI,LON,2017-05-24T00:00:00,2017-05-24T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
125,33.0,PMI,LON,2017-05-24T00:00:00,2017-05-24T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
126,84.0,PMI,LON,2017-05-25T00:00:00,2017-05-25T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
127,21.0,PMI,LON,2017-05-25T00:00:00,2017-05-25T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
128,18.0,PMI,LON,2017-05-25T00:00:00,2017-05-25T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
129,27.0,PMI,LON,2017-05-25T00:00:00,2017-05-25T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
130,94.0,PMI,LON,2017-05-26T00:00:00,2017-05-26T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
131,18.0,PMI,LON,2017-05-26T00:00:00,2017-05-26T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
132,189.0,PMI,LON,2017-05-26T00:00:00,2017-05-26T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
133,18.0,PMI,LON,2017-05-26T00:00:00,2017-05-26T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
134,30.0,PMI,LON,2017-05-26T00:00:00,2017-05-26T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
135,139.0,PMI,LON,2017-05-27T00:00:00,2017-05-27T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
136,59.0,PMI,LON,2017-05-27T00:00:00,2017-05-27T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
137,385.0,PMI,LON,2017-05-27T00:00:00,2017-05-27T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
138,31.0,PMI,LON,2017-05-27T00:00:00,2017-05-27T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
139,110.0,PMI,LON,2017-05-27T00:00:00,2017-05-27T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
140,30.0,PMI,LON,2017-05-27T00:00:00,2017-05-27T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
141,180.0,PMI,LON,2017-05-28T00:00:00,2017-05-28T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
142,208.0,PMI,LON,2017-05-28T00:00:00,2017-05-28T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
